env_steps,return,length,train/length,train/return,FPS,op-kl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
23000,,,,,,-116.5484,-234.262,181.2565,-116.5484,66.1439,2238.5269,11.1546
23500,,,,,,-116.7073,-222.887,185.3463,-116.7073,60.5847,1848.8829,12.5858
23695,,,1000,-1244.0526,100.4009,,,,,,,
24000,,,,,,-117.2956,-234.7496,188.6684,-117.2956,73.0082,2008.8826,12.5163
24500,,,,,,-116.9283,-238.8036,221.6992,-116.9283,60.9994,1615.5452,12.0751
24695,,,1000,-1248.0921,97.0858,,,,,,,
24804,,,109,-101.5606,97.0345,,,,,,,
24826,,,22,-21.0403,97.1642,,,,,,,
24861,,,35,-38.7726,97.2285,,,,,,,
25000,,,,,,-117.2506,-244.8253,206.6876,-117.2506,78.1797,2000.4817,14.1758
25000,-547.9756,668.0,,,,,,,,,,
25500,,,,,,-117.1562,-250.7761,171.4309,-117.1562,77.9842,1823.2605,17.7843
25861,,,1000,-1208.0429,77.6536,,,,,,,
26000,,,,,,-117.1867,-249.4536,192.1947,-117.1867,90.6091,3302.3921,12.9528
26500,,,,,,-117.4851,-244.1448,244.9553,-117.4851,78.5052,2319.406,14.423
26861,,,1000,-1119.0835,96.8025,,,,,,,
27000,,,,,,-117.7402,-262.7988,228.726,-117.7402,85.4391,3087.811,13.6572
27069,,,208,-215.0531,96.6446,,,,,,,
27113,,,44,-44.0146,96.9192,,,,,,,
27209,,,96,-64.2945,96.6828,,,,,,,
27307,,,98,-42.1621,96.5473,,,,,,,
27324,,,17,-15.115,97.0662,,,,,,,
27500,,,,,,-117.6062,-264.6153,248.7136,-117.6062,108.1183,3011.9463,17.5169
28000,,,,,,-117.6562,-275.2484,269.4056,-117.6562,152.4688,2568.4326,14.2602
28324,,,1000,-1249.0837,97.3101,,,,,,,
28500,,,,,,-117.717,-268.1742,262.9112,-117.717,110.5891,2645.4014,17.135
29000,,,,,,-117.5571,-267.7407,189.759,-117.5571,132.7597,3070.3601,17.9768
29324,,,1000,-1157.4914,97.9301,,,,,,,
29422,,,98,-33.1166,96.7168,,,,,,,
29436,,,14,-10.4751,96.8703,,,,,,,
29500,,,,,,-118.0768,-288.0559,228.3721,-118.0768,144.4977,4084.9187,17.9368
29817,,,381,-416.5006,96.7086,,,,,,,
29886,,,69,-85.7826,96.494,,,,,,,
29966,,,80,-92.7087,96.5551,,,,,,,
30000,,,,,,-118.3171,-302.7766,233.7827,-118.3171,169.6502,3476.834,19.0216
30000,-549.9437,907.5,,,,,,,,,,
30500,,,,,,-118.5156,-295.5929,203.8918,-118.5156,190.1312,5883.7935,21.9457
30966,,,1000,-1217.3145,72.1398,,,,,,,
31000,,,,,,-118.3832,-320.6162,286.2773,-118.3832,155.1514,3363.9192,17.909
31409,,,443,-530.2086,96.4073,,,,,,,
31440,,,31,-7.7896,96.5044,,,,,,,
31491,,,51,-92.3315,96.6533,,,,,,,
31500,,,,,,-118.8483,-303.96,189.2769,-118.8483,210.0145,9330.1025,19.3329
31597,,,106,-94.1299,96.9207,,,,,,,
31679,,,82,-88.9099,97.012,,,,,,,
31746,,,67,-61.9803,97.0782,,,,,,,
31891,,,145,-88.3974,96.5535,,,,,,,
31915,,,24,-19.1475,96.9241,,,,,,,
32000,,,,,,-118.8722,-307.2236,229.084,-118.8722,216.5557,4858.3257,19.6212
32469,,,554,-690.3819,96.5174,,,,,,,
32500,,,,,,-118.9844,-324.2646,259.1935,-118.9844,239.821,5087.1821,23.5193
32531,,,62,-93.3818,96.9829,,,,,,,
32562,,,31,-26.0334,96.8534,,,,,,,
33000,,,,,,-119.2694,-312.54,215.5585,-119.2694,257.1089,7575.791,23.2516
33500,,,,,,-119.5471,-332.2831,238.4323,-119.5471,241.8569,4511.5986,19.2692
33562,,,1000,-1194.0384,98.6604,,,,,,,
33638,,,76,-34.0948,100.1227,,,,,,,
33816,,,178,-225.0219,99.9419,,,,,,,
33923,,,107,-109.7491,100.1077,,,,,,,
34000,,,,,,-119.3782,-366.2997,212.3127,-119.3782,315.5588,7109.4575,27.6697
34086,,,163,-185.0634,99.9156,,,,,,,
34267,,,181,-171.3988,96.0127,,,,,,,
34424,,,157,-150.2401,96.873,,,,,,,
34500,,,,,,-119.6516,-359.5795,228.2048,-119.6516,470.9281,11385.7764,24.9391
34576,,,152,-142.627,96.737,,,,,,,
34664,,,88,-96.2117,96.2602,,,,,,,
35000,,,,,,-119.2415,-371.5925,294.746,-119.2415,359.1782,7669.5757,21.801
35000,-461.6284,600.2,,,,,,,,,,
35366,,,702,-785.3611,74.4531,,,,,,,
35500,,,,,,-119.6774,-355.9926,240.548,-119.6774,395.5345,7126.7441,25.9776
35517,,,151,-95.6501,99.4476,,,,,,,
35538,,,21,-11.7833,100.0351,,,,,,,
35791,,,253,-319.7382,99.956,,,,,,,
35853,,,62,-50.984,100.2106,,,,,,,
36000,,,,,,-119.7882,-401.4208,219.9747,-119.7882,467.178,11616.1201,25.2877
36290,,,437,-420.7314,99.9664,,,,,,,
36500,,,,,,-119.6758,-392.9526,221.3669,-119.6758,452.1976,8888.9648,25.8436
37000,,,,,,-120.0172,-384.7758,231.8603,-120.0172,377.5291,7387.0161,22.6202
37290,,,1000,-1268.906,97.695,,,,,,,
37500,,,,,,-119.9067,-403.1204,318.944,-119.9067,367.5573,11394.4414,25.295
38000,,,,,,-120.4334,-400.7668,217.5039,-120.4334,327.4814,6709.6738,22.9707
38290,,,1000,-1288.2371,98.6445,,,,,,,
38365,,,75,-71.516,96.3704,,,,,,,
38400,,,35,-21.688,95.9979,,,,,,,
38451,,,51,-51.8497,96.2491,,,,,,,
38500,,,,,,-120.5187,-393.3835,308.589,-120.5187,412.2761,8687.6201,24.7289
38640,,,189,-86.8209,97.773,,,,,,,
38714,,,74,-56.0931,100.3659,,,,,,,
38797,,,83,-74.1706,99.9709,,,,,,,
38883,,,86,-44.2008,99.9981,,,,,,,
39000,,,,,,-120.2409,-407.0349,263.207,-120.2409,427.2504,12665.4717,29.7441
39016,,,133,-126.2238,100.0863,,,,,,,
39035,,,19,-16.506,100.0224,,,,,,,
39092,,,57,-72.625,100.1044,,,,,,,
39402,,,310,-283.7141,100.0223,,,,,,,
39500,,,,,,-120.3486,-415.9466,297.0805,-120.3486,444.862,6897.7856,25.9567
39589,,,187,-142.2514,100.1971,,,,,,,
39628,,,39,-62.3369,100.0814,,,,,,,
39719,,,91,-86.5446,100.0857,,,,,,,
39804,,,85,-87.6391,100.2067,,,,,,,
39911,,,107,-63.0021,100.0341,,,,,,,
39946,,,35,-25.3619,100.0387,,,,,,,
39995,,,49,-34.2666,100.1355,,,,,,,
40000,,,,,,-120.6052,-425.8839,260.5529,-120.6052,536.522,12054.2275,25.129
40000,-691.2447,816.2,,,,,,,,,,
40043,,,48,-15.0921,13.4756,,,,,,,
40366,,,323,-308.092,100.0826,,,,,,,
40500,,,,,,-120.5598,-433.4668,276.2045,-120.5598,507.9125,15050.374,28.4847
40594,,,228,-209.9849,98.4687,,,,,,,
41000,,,,,,-120.5814,-462.9141,286.5941,-120.5814,527.7626,11225.1533,27.0934
41500,,,,,,-120.326,-449.7858,312.0305,-120.326,521.8387,8919.5635,31.1521
41594,,,1000,-1370.5093,97.6896,,,,,,,
41673,,,79,-113.4987,96.6237,,,,,,,
41800,,,127,-78.9164,96.4427,,,,,,,
41813,,,13,-18.6434,95.5797,,,,,,,
41970,,,157,-232.7001,96.2962,,,,,,,
42000,,,,,,-120.5824,-422.568,320.3554,-120.5824,469.2928,14173.5,28.5055
42005,,,35,-31.1582,96.567,,,,,,,
42051,,,46,-37.0224,96.2868,,,,,,,
42124,,,73,-40.6523,96.4297,,,,,,,
42500,,,,,,-120.8542,-423.0843,256.0904,-120.8542,568.158,13007.8379,30.47
43000,,,,,,-121.0392,-432.312,299.1562,-121.0392,510.6147,10429.4502,31.3622
43124,,,1000,-1312.8851,96.5556,,,,,,,
43262,,,138,-184.5506,99.4983,,,,,,,
43337,,,75,-50.175,96.7814,,,,,,,
43411,,,74,-69.5207,96.6965,,,,,,,
43474,,,63,-86.2216,98.0739,,,,,,,
43500,,,,,,-120.6819,-433.3112,307.1448,-120.6819,551.2458,9971.5137,30.4933
44000,,,,,,-121.1499,-439.5246,307.9183,-121.1499,490.849,8905.4414,28.1015
44474,,,1000,-1435.61,96.7481,,,,,,,
44500,,,,,,-121.354,-416.4362,289.9956,-121.354,452.4947,16112.5273,28.1441
44538,,,64,-52.2628,96.2987,,,,,,,
44555,,,17,-29.3579,96.6935,,,,,,,
44846,,,291,-292.1636,96.5085,,,,,,,
45000,,,,,,-121.2144,-447.1282,303.5456,-121.2144,459.4047,7530.9985,28.7443
45000,-232.4507,235.9,,,,,,,,,,
45106,,,260,-189.8841,73.1375,,,,,,,
45500,,,,,,-120.7368,-426.2285,350.2909,-120.7368,501.2456,11718.7139,26.6146
45604,,,498,-488.782,96.3175,,,,,,,
45671,,,67,-39.8562,96.1892,,,,,,,
45700,,,29,-24.9917,95.937,,,,,,,
46000,,,,,,-121.2567,-450.9339,311.7909,-121.2567,447.7854,8896.1992,28.0618
46500,,,,,,-121.2121,-482.149,262.8541,-121.2121,481.0006,13999.666,26.2694
46700,,,1000,-1471.1269,96.331,,,,,,,
46737,,,37,-49.3524,96.7081,,,,,,,
46820,,,83,-104.2901,96.7311,,,,,,,
46887,,,67,-52.9292,96.5912,,,,,,,
47000,,,,,,-121.5516,-446.9926,327.9436,-121.5516,430.6453,10303.5449,27.1686
47080,,,193,-140.2444,97.7428,,,,,,,
47101,,,21,-21.3151,100.1537,,,,,,,
47385,,,284,-191.0881,99.9843,,,,,,,
47500,,,,,,-121.3918,-445.5346,253.011,-121.3918,523.0339,8241.7471,27.8707
48000,,,,,,-121.3581,-442.968,279.5942,-121.3581,525.9104,11282.1641,30.7632
48385,,,1000,-1310.03,99.916,,,,,,,
48500,,,,,,-121.3184,-471.3607,285.805,-121.3184,408.6494,10052.7549,31.6533
48637,,,252,-276.259,100.1309,,,,,,,
48806,,,169,-180.9188,100.1245,,,,,,,
49000,,,,,,-121.4001,-435.4296,365.9354,-121.4001,478.1666,10865.8242,30.3826
49053,,,247,-172.5396,99.9091,,,,,,,
49082,,,29,-13.9009,100.3382,,,,,,,
49219,,,137,-108.1541,97.3674,,,,,,,
49368,,,149,-122.9228,96.4201,,,,,,,
49500,,,,,,-121.6026,-458.7484,362.6805,-121.6026,548.1059,11181.4258,29.2416
49506,,,138,-138.0548,96.3216,,,,,,,
49606,,,100,-81.1215,96.593,,,,,,,
49769,,,163,-147.6218,96.6223,,,,,,,
49888,,,119,-171.7195,98.7689,,,,,,,
49904,,,16,-5.6864,99.8818,,,,,,,
49973,,,69,-19.062,96.5852,,,,,,,
50000,,,,,,-121.4789,-474.4841,304.3315,-121.4789,543.8948,16968.6426,27.5584
50000,-154.2456,219.1,,,,,,,,,,
50128,,,155,-121.4697,63.7431,,,,,,,
50144,,,16,-14.9151,95.826,,,,,,,
50315,,,171,-170.9291,96.395,,,,,,,
50363,,,48,-39.6188,96.3828,,,,,,,
50394,,,31,-33.8584,96.5952,,,,,,,
50500,,,,,,-121.6389,-445.3803,286.7433,-121.6389,565.4889,12002.0332,27.9063
50577,,,183,-203.6991,96.5742,,,,,,,
51000,,,,,,-121.5914,-496.652,393.8854,-121.5914,595.9938,12109.8721,24.1286
51109,,,532,-531.6825,96.4663,,,,,,,
51153,,,44,5.9497,96.6885,,,,,,,
51178,,,25,-10.8234,96.9539,,,,,,,
51186,,,8,-2.3084,96.0405,,,,,,,
51239,,,53,-51.5521,96.9819,,,,,,,
51348,,,109,-116.689,96.7143,,,,,,,
51378,,,30,-3.6645,96.8336,,,,,,,
51446,,,68,-66.2469,96.7312,,,,,,,
51477,,,31,-4.4924,96.594,,,,,,,
51500,,,,,,-121.8141,-471.6831,232.2435,-121.8141,519.0094,10521.9043,29.6811
51538,,,61,-31.1602,96.9044,,,,,,,
51605,,,67,-98.0063,96.7512,,,,,,,
51633,,,28,-19.5878,96.5867,,,,,,,
52000,,,,,,-121.5206,-460.7299,328.3747,-121.5206,776.1592,11347.8018,32.2296
52500,,,,,,-121.7581,-486.7203,294.1173,-121.7581,579.6244,11786.9277,31.0407
52633,,,1000,-1240.6791,97.8581,,,,,,,
52751,,,118,-110.3754,99.9639,,,,,,,
52894,,,143,-90.2209,99.6058,,,,,,,
52957,,,63,-66.8205,99.8037,,,,,,,
53000,,,,,,-121.7006,-468.6136,264.7607,-121.7006,612.8458,9796.4766,26.3574
53067,,,110,-112.6695,96.7166,,,,,,,
53144,,,77,-89.4466,97.259,,,,,,,
53500,,,,,,-121.9738,-442.7671,284.3876,-121.9738,555.9974,10979.0,27.0302
54000,,,,,,-122.1925,-434.4131,314.1672,-122.1925,511.98,10680.5742,27.4552
54144,,,1000,-1380.3495,98.0386,,,,,,,
54500,,,,,,-121.9648,-434.1088,276.3706,-121.9648,507.2364,8916.7402,28.694
54510,,,366,-406.2271,97.0149,,,,,,,
54583,,,73,-76.2727,98.8047,,,,,,,
54679,,,96,-73.1295,99.0916,,,,,,,
54819,,,140,-113.0095,99.9948,,,,,,,
54927,,,108,-87.8396,100.0305,,,,,,,
55000,,,,,,-122.2068,-457.9606,276.9733,-122.2068,495.1656,9583.6309,28.0836
55000,-540.7012,299.6,,,,,,,,,,
55175,,,248,-210.4518,68.4446,,,,,,,
55283,,,108,-91.2842,97.6757,,,,,,,
55321,,,38,-51.4086,96.6451,,,,,,,
55405,,,84,-62.2852,96.7446,,,,,,,
55500,,,,,,-121.9965,-457.2781,304.2065,-121.9965,526.7906,9583.9951,29.1319
55526,,,121,-198.5131,96.8057,,,,,,,
55545,,,19,-13.3737,96.8138,,,,,,,
55554,,,9,-13.5039,96.7976,,,,,,,
55659,,,105,-36.0503,96.5232,,,,,,,
55760,,,101,-114.1776,96.551,,,,,,,
55785,,,25,-20.8409,96.1852,,,,,,,
55889,,,104,-53.9625,96.4832,,,,,,,
56000,,,,,,-122.0986,-442.9393,268.0109,-122.0986,553.749,11646.7529,27.8894
56239,,,350,-272.8003,96.4651,,,,,,,
56287,,,48,-1.7353,96.6511,,,,,,,
56419,,,132,-178.4554,96.54,,,,,,,
56500,,,,,,-121.9379,-442.3477,314.6318,-121.9379,546.3116,12118.8115,27.0427
