env_steps,return,length,train/length,train/return,FPS,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
11500,,,,,,70.1111,37.6912,7887.3477,70.1111,11.6714,211.0481,3.5962
11506,,,90,188.8761,92.6085,,,,,,,
11605,,,99,199.322,92.4909,,,,,,,
11705,,,100,223.247,92.5801,,,,,,,
11803,,,98,211.5977,92.3871,,,,,,,
11905,,,102,235.8954,92.1317,,,,,,,
12000,,,,,,58.2283,8.9845,5520.2163,58.2283,13.1536,341.9144,2.6327
12020,,,115,260.3044,92.46,,,,,,,
12091,,,71,128.4093,92.694,,,,,,,
12198,,,107,249.501,92.4745,,,,,,,
12310,,,112,266.5956,92.7303,,,,,,,
12416,,,106,224.3689,92.9147,,,,,,,
12500,,,,,,64.6251,20.7631,5630.6758,64.6251,12.6216,366.1909,2.3397
12508,,,92,208.6952,92.8514,,,,,,,
12598,,,90,177.0221,92.8128,,,,,,,
12611,,,13,14.0232,92.7508,,,,,,,
12715,,,104,232.0532,92.3254,,,,,,,
12766,,,51,87.7054,92.6137,,,,,,,
12881,,,115,234.3632,92.7193,,,,,,,
12973,,,92,187.4365,91.8858,,,,,,,
13000,,,,,,65.0412,18.0569,6384.8262,65.0412,11.6735,376.3137,5.2103
13075,,,102,193.8676,91.7784,,,,,,,
13169,,,94,195.4886,92.7521,,,,,,,
13268,,,99,222.4533,91.915,,,,,,,
13383,,,115,232.7561,92.768,,,,,,,
13393,,,10,7.6743,92.5611,,,,,,,
13500,,,,,,69.7412,23.1015,5486.4102,69.7412,10.5596,371.3438,3.9174
13523,,,130,299.3419,92.3504,,,,,,,
13625,,,102,238.2197,92.8153,,,,,,,
13745,,,120,299.4566,98.7565,,,,,,,
13818,,,73,141.3419,99.3974,,,,,,,
13827,,,9,7.0317,99.103,,,,,,,
13834,,,7,5.0384,98.6703,,,,,,,
13918,,,84,153.2627,99.2228,,,,,,,
14000,,,,,,72.5152,25.3945,4211.5264,72.5152,13.5595,589.0883,3.4446
14052,,,134,356.8649,99.1363,,,,,,,
14207,,,155,341.2237,99.1711,,,,,,,
14217,,,10,7.6807,93.1393,,,,,,,
14345,,,128,310.3764,91.8604,,,,,,,
14353,,,8,6.2107,92.7787,,,,,,,
14363,,,10,7.645,92.5689,,,,,,,
14477,,,114,255.4386,92.7725,,,,,,,
14488,,,11,8.5473,92.6946,,,,,,,
14500,,,,,,71.6603,19.8604,4448.2959,71.6603,10.3434,305.8863,2.4365
14578,,,90,194.9366,92.1822,,,,,,,
14650,,,72,133.7643,92.6333,,,,,,,
14658,,,8,6.3712,87.9304,,,,,,,
14804,,,146,333.8721,92.6206,,,,,,,
14814,,,10,7.8039,92.2872,,,,,,,
14822,,,8,5.2534,92.6222,,,,,,,
14938,,,116,255.475,92.1665,,,,,,,
15000,,,,,,63.9136,3.0079,7091.6787,63.9136,13.3918,464.6456,5.5676
15000,147.8779,79.2,,,,,,,,,,
15050,,,112,260.9751,78.7375,,,,,,,
15061,,,11,8.7563,93.4331,,,,,,,
15197,,,136,348.1023,92.5455,,,,,,,
15346,,,149,358.8595,92.625,,,,,,,
15472,,,126,303.3429,92.4605,,,,,,,
15500,,,,,,62.4626,-1.1245,4598.6875,62.4626,19.6252,458.6342,6.6064
15590,,,118,270.8444,93.3478,,,,,,,
15704,,,114,256.2378,98.528,,,,,,,
15804,,,100,227.5993,98.6469,,,,,,,
15813,,,9,6.0611,98.4522,,,,,,,
15823,,,10,7.8245,98.944,,,,,,,
15834,,,11,8.9077,98.4936,,,,,,,
15953,,,119,294.1194,98.61,,,,,,,
16000,,,,,,64.284,-2.1777,5519.6016,64.284,19.232,706.6833,5.101
16081,,,128,320.2109,98.1905,,,,,,,
16098,,,17,15.8357,92.8418,,,,,,,
16105,,,7,4.8222,92.883,,,,,,,
16116,,,11,9.744,92.5124,,,,,,,
16125,,,9,6.6357,92.4999,,,,,,,
16241,,,116,291.0214,92.6355,,,,,,,
16253,,,12,10.8631,92.4305,,,,,,,
16261,,,8,5.9994,92.5394,,,,,,,
16389,,,128,320.4626,92.8177,,,,,,,
16423,,,34,44.8796,92.709,,,,,,,
16500,,,,,,72.4328,14.7034,7325.0405,72.4328,19.3464,596.5988,3.9742
16548,,,125,309.7991,92.819,,,,,,,
16665,,,117,293.1359,93.7934,,,,,,,
16677,,,12,10.3344,98.3028,,,,,,,
16809,,,132,317.7386,98.3144,,,,,,,
16818,,,9,6.6076,98.784,,,,,,,
16962,,,144,328.3157,98.8641,,,,,,,
16975,,,13,14.0454,99.1749,,,,,,,
16985,,,10,7.7512,98.0033,,,,,,,
17000,,,,,,64.536,-5.0007,5206.1226,64.536,18.0814,485.8476,3.7352
17116,,,131,327.6802,98.5909,,,,,,,
17126,,,10,7.674,98.5828,,,,,,,
17133,,,7,5.0716,98.0472,,,,,,,
17142,,,9,8.1063,98.5252,,,,,,,
17151,,,9,6.5566,98.4214,,,,,,,
17297,,,146,354.6075,94.4639,,,,,,,
17426,,,129,326.0948,97.9217,,,,,,,
17500,,,,,,65.8621,-3.146,6093.6211,65.8621,20.0347,736.4324,5.21
17511,,,85,181.4622,98.9545,,,,,,,
17518,,,7,5.0258,94.7046,,,,,,,
17658,,,140,368.8597,95.9053,,,,,,,
17730,,,72,141.3793,91.8321,,,,,,,
17867,,,137,336.7067,92.0053,,,,,,,
18000,,,,,,64.5966,-10.0057,4062.7649,64.5966,15.9203,452.8702,8.2462
18013,,,146,358.961,92.8521,,,,,,,
18023,,,10,8.6552,92.9218,,,,,,,
18169,,,146,341.9962,92.7249,,,,,,,
18186,,,17,17.4765,92.7995,,,,,,,
18333,,,147,351.2674,90.2628,,,,,,,
18471,,,138,326.3237,91.8467,,,,,,,
18500,,,,,,62.2156,-18.0817,5479.0171,62.2156,24.5266,936.8511,3.9047
18617,,,146,338.2233,92.5705,,,,,,,
18746,,,129,307.1928,92.8166,,,,,,,
18924,,,178,397.1477,92.4328,,,,,,,
19000,,,,,,75.9984,7.0916,5337.4561,75.9984,20.5258,559.072,3.687
19074,,,150,358.751,91.9676,,,,,,,
19239,,,165,340.6807,92.3234,,,,,,,
19248,,,9,6.8185,90.0845,,,,,,,
19413,,,165,425.4681,92.5812,,,,,,,
19423,,,10,8.1944,92.4079,,,,,,,
19500,,,,,,64.534,-17.475,5868.9429,64.534,17.5153,671.9353,2.6649
19559,,,136,321.7407,91.9475,,,,,,,
19568,,,9,7.0903,92.669,,,,,,,
19579,,,11,9.1671,92.6797,,,,,,,
19736,,,157,368.57,91.4682,,,,,,,
19853,,,117,241.1374,92.6611,,,,,,,
20000,,,,,,63.1112,-23.7237,5977.1724,63.1112,19.2494,509.2578,7.408
20000,375.0628,179.1,,,,,,,,,,
20047,,,194,432.3728,78.0623,,,,,,,
20063,,,16,16.9106,89.7952,,,,,,,
20070,,,7,4.596,92.8848,,,,,,,
20238,,,168,386.0101,95.6206,,,,,,,
20261,,,23,26.6732,98.852,,,,,,,
20274,,,13,11.0779,98.944,,,,,,,
20447,,,173,404.5471,98.769,,,,,,,
20456,,,9,7.0085,99.1116,,,,,,,
20466,,,10,8.1845,98.823,,,,,,,
20500,,,,,,61.3396,-29.8583,5382.083,61.3396,40.0387,689.1884,3.925
20615,,,149,359.7982,94.8913,,,,,,,
20786,,,171,407.4028,92.7917,,,,,,,
20796,,,10,8.1027,92.2725,,,,,,,
20925,,,129,263.7948,92.982,,,,,,,
20938,,,13,11.4177,90.5542,,,,,,,
20949,,,11,8.0991,93.2137,,,,,,,
21000,,,,,,71.0993,-11.9588,6321.3296,71.0993,17.2022,371.2945,5.4316
21125,,,176,398.0065,92.7082,,,,,,,
21135,,,10,7.9328,92.8504,,,,,,,
21280,,,145,341.2664,92.8818,,,,,,,
21410,,,130,305.8352,92.7796,,,,,,,
21500,,,,,,70.1065,-16.4681,5691.127,70.1065,21.0063,502.5063,8.5285
21539,,,129,318.9253,92.18,,,,,,,
21756,,,217,454.913,94.1693,,,,,,,
21892,,,136,315.0859,98.0855,,,,,,,
22000,,,,,,62.4787,-32.4686,7255.9907,62.4787,21.9382,1297.8939,11.3742
22025,,,133,318.6516,92.696,,,,,,,
22034,,,9,7.2893,93.1352,,,,,,,
22169,,,135,321.3482,96.0177,,,,,,,
22306,,,137,320.305,93.1699,,,,,,,
22442,,,136,315.1357,93.5196,,,,,,,
22500,,,,,,66.3552,-28.0451,5329.4946,66.3552,21.4445,1160.557,4.4941
22570,,,128,333.7571,95.0053,,,,,,,
22586,,,16,14.0071,98.4266,,,,,,,
22715,,,129,320.3388,98.4795,,,,,,,
22843,,,128,311.9978,98.4484,,,,,,,
22853,,,10,8.1379,92.7915,,,,,,,
22863,,,10,7.8049,92.6418,,,,,,,
22988,,,125,306.1185,92.8056,,,,,,,
23000,,,,,,69.7519,-21.5381,5811.5327,69.7519,35.8869,1212.5176,4.8398
23121,,,133,319.4416,92.9474,,,,,,,
23170,,,49,80.0597,92.0645,,,,,,,
23297,,,127,330.1842,97.4767,,,,,,,
23421,,,124,345.2545,92.7143,,,,,,,
23500,,,,,,68.1703,-23.8424,5943.9434,68.1703,29.7619,863.2105,6.4211
23551,,,130,330.1313,92.7024,,,,,,,
23686,,,135,335.528,92.9225,,,,,,,
23818,,,132,349.9334,92.6395,,,,,,,
23958,,,140,340.1136,92.7381,,,,,,,
23966,,,8,5.6398,92.5816,,,,,,,
24000,,,,,,63.264,-35.2003,8077.6099,63.264,26.7993,715.9445,8.6026
24093,,,127,341.8439,92.3251,,,,,,,
24109,,,16,14.0354,93.0388,,,,,,,
24233,,,124,332.6125,93.0365,,,,,,,
24249,,,16,14.4845,92.7615,,,,,,,
24325,,,76,158.6147,93.0867,,,,,,,
24340,,,15,14.1146,93.3473,,,,,,,
24418,,,78,162.2853,94.6563,,,,,,,
24500,,,,,,70.5182,-26.7092,5802.7754,70.5182,24.3387,1001.3047,11.377
24551,,,133,326.1317,95.8196,,,,,,,
24678,,,127,337.1928,99.2008,,,,,,,
24770,,,92,180.359,99.2444,,,,,,,
24856,,,86,171.4421,99.1869,,,,,,,
24976,,,120,324.5639,99.3156,,,,,,,
24987,,,11,8.9454,99.3369,,,,,,,
25000,,,,,,56.8687,-55.4101,4098.8823,56.8687,68.5023,2478.2976,10.7283
25000,335.515,128.3,,,,,,,,,,
25117,,,130,347.3837,78.8018,,,,,,,
25245,,,128,329.3584,99.3129,,,,,,,
25376,,,131,339.112,97.8884,,,,,,,
25391,,,15,14.7498,92.7284,,,,,,,
25403,,,12,10.6461,92.6096,,,,,,,
25500,,,,,,68.7128,-32.7083,5385.272,68.7128,33.0464,860.6837,4.2059
25529,,,126,345.4155,92.8672,,,,,,,
25633,,,104,268.9254,92.9855,,,,,,,
25643,,,10,8.6389,93.225,,,,,,,
25762,,,119,324.2243,92.7671,,,,,,,
25887,,,125,341.0598,94.9903,,,,,,,
26000,,,,,,63.2106,-41.4341,6756.5259,63.2106,20.0557,1213.7988,6.1867
26011,,,124,318.5939,98.8634,,,,,,,
26130,,,119,315.5508,98.9298,,,,,,,
26268,,,138,352.6238,97.5447,,,,,,,
26402,,,134,323.0354,91.8553,,,,,,,
26500,,,,,,62.6312,-46.9616,8294.2031,62.6312,25.5408,1401.4707,4.4842
26523,,,121,312.5343,95.7594,,,,,,,
26628,,,105,274.7115,98.1912,,,,,,,
26748,,,120,305.1216,98.9868,,,,,,,
26759,,,11,9.1818,99.3055,,,,,,,
26898,,,139,336.8229,99.143,,,,,,,
27000,,,,,,65.9137,-39.2721,4811.7095,65.9137,30.9363,1240.6396,6.7751
27027,,,129,322.2997,99.2541,,,,,,,
27036,,,9,6.4028,100.4164,,,,,,,
27161,,,125,313.2925,93.4076,,,,,,,
27290,,,129,324.8967,92.986,,,,,,,
27408,,,118,302.8579,92.0856,,,,,,,
27500,,,,,,55.8599,-64.0523,4513.5986,55.8599,28.5706,1231.9691,8.8029
27533,,,125,333.7844,92.262,,,,,,,
27670,,,137,353.3494,92.5983,,,,,,,
27789,,,119,316.1504,92.6895,,,,,,,
27799,,,10,8.5184,92.6392,,,,,,,
27809,,,10,7.679,92.4244,,,,,,,
27819,,,10,7.4848,92.2658,,,,,,,
27829,,,10,7.8389,92.2547,,,,,,,
27840,,,11,9.358,91.9457,,,,,,,
27955,,,115,295.8369,91.7896,,,,,,,
28000,,,,,,63.9753,-46.0005,6954.1138,63.9753,34.8723,920.2366,10.9515
28091,,,136,361.6647,92.6593,,,,,,,
28100,,,9,6.3095,92.5775,,,,,,,
28232,,,132,324.4217,97.5991,,,,,,,
28357,,,125,341.2154,93.9667,,,,,,,
28481,,,124,339.4257,91.8281,,,,,,,
28499,,,18,18.7943,92.7179,,,,,,,
28500,,,,,,61.4716,-51.864,5722.7559,61.4716,65.1748,4090.9438,9.1876
28629,,,130,356.0451,92.3244,,,,,,,
28778,,,149,330.877,91.7814,,,,,,,
28820,,,42,26.164,92.584,,,,,,,
28832,,,12,10.5769,92.7383,,,,,,,
28951,,,119,335.4704,92.1876,,,,,,,
28960,,,9,6.5148,90.3882,,,,,,,
29000,,,,,,61.9164,-50.9138,6163.4302,61.9164,18.5647,742.5254,4.6893
29057,,,97,187.7487,92.6696,,,,,,,
29066,,,9,6.5888,92.6852,,,,,,,
29076,,,10,7.5218,90.1307,,,,,,,
29208,,,132,345.0643,92.4421,,,,,,,
29219,,,11,8.9501,92.7837,,,,,,,
29236,,,17,16.5728,92.1602,,,,,,,
29247,,,11,8.5164,92.2164,,,,,,,
29370,,,123,344.9114,91.6155,,,,,,,
29380,,,10,8.2706,91.3332,,,,,,,
29390,,,10,8.3047,90.4329,,,,,,,
29397,,,7,5.319,89.8426,,,,,,,
29500,,,,,,68.2259,-43.9653,7271.4941,68.2259,37.4725,1804.0687,4.4567
29537,,,140,341.8711,92.2204,,,,,,,
29547,,,10,8.3398,92.0143,,,,,,,
29685,,,138,360.1981,95.1994,,,,,,,
29813,,,128,348.7074,98.7622,,,,,,,
29869,,,56,29.6154,98.4348,,,,,,,
30000,,,,,,60.342,-57.9159,6918.0576,60.342,31.1264,1501.0906,7.6945
30000,380.6337,135.3,,,,,,,,,,
30003,,,134,351.4748,78.1797,,,,,,,
30128,,,125,347.8925,98.7589,,,,,,,
30249,,,121,320.3741,98.0825,,,,,,,
30292,,,43,52.0847,98.6003,,,,,,,
30426,,,134,345.0857,93.3163,,,,,,,
30500,,,,,,62.3203,-52.8607,5300.6958,62.3203,19.9392,1053.2562,12.6598
30550,,,124,344.1659,92.4829,,,,,,,
30691,,,141,351.1391,92.3398,,,,,,,
30822,,,131,312.9259,95.3372,,,,,,,
30948,,,126,324.5679,96.4986,,,,,,,
31000,,,,,,61.5448,-56.5299,7775.5278,61.5448,30.472,1080.5212,3.9668
31084,,,136,342.2148,96.4653,,,,,,,
31223,,,139,358.5145,96.8738,,,,,,,
31351,,,128,350.4069,97.1269,,,,,,,
31360,,,9,7.0821,92.3867,,,,,,,
31490,,,130,354.4434,95.8807,,,,,,,
31500,,,,,,59.3711,-64.8357,6796.5273,59.3711,22.6884,1664.6505,9.6227
31621,,,131,348.7652,98.7055,,,,,,,
31630,,,9,6.5699,98.5908,,,,,,,
31751,,,121,334.0062,98.8251,,,,,,,
31882,,,131,352.3315,98.8295,,,,,,,
31891,,,9,6.8508,98.5234,,,,,,,
32000,,,,,,58.7972,-62.4163,7877.0815,58.7972,22.1894,1007.1136,5.6478
32018,,,127,361.3508,98.7152,,,,,,,
32145,,,127,356.2014,98.7699,,,,,,,
32286,,,141,336.4055,98.674,,,,,,,
32418,,,132,358.2775,98.5062,,,,,,,
