env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
27000,,,0.4205,0.7747,0.1538,-98.1813,5.3767,0.0775,-0.2923,3.0094,125.4311,2.7241,,,
27000,,,,,,,,,,,,,1000,1011.2939,79.6375
27500,,,0.4069,0.7747,0.1478,-103.5246,7.8672,0.0729,-0.2971,4.0023,117.4997,1.6198,,,
28000,,,0.411,0.7801,0.1429,-102.7104,6.7074,0.0786,-0.2885,3.0089,139.3794,3.2923,,,
28000,,,,,,,,,,,,,1000,374.0322,79.3206
28500,,,0.4153,0.7802,0.1501,-101.853,7.128,0.0769,-0.2924,2.7904,98.5399,2.2201,,,
29000,,,0.4141,0.7775,0.1466,-110.3009,8.2565,0.0779,-0.2858,3.0403,83.528,2.1026,,,
29000,,,,,,,,,,,,,1000,1455.2979,82.842
29500,,,0.4085,0.7822,0.1608,-109.5785,8.0265,0.0673,-0.3198,2.8762,94.493,2.0298,,,
30000,,,0.4097,0.7803,0.1439,-112.2072,7.9042,0.0769,-0.2839,3.5551,139.058,3.6811,,,
30000,2629.8082,1000.0,,,,,,,,,,,,,
30000,,,,,,,,,,,,,1000,1199.5174,71.71
30500,,,0.4129,0.7726,0.1559,-113.2338,6.2645,0.0717,-0.3229,2.4935,74.3323,2.0454,,,
31000,,,0.412,0.7938,0.1541,-116.8312,6.1303,0.0731,-0.313,2.6812,154.3724,1.4744,,,
31000,,,,,,,,,,,,,1000,1324.17,83.426
31500,,,0.4229,0.7887,0.1685,-116.5979,5.5975,0.0708,-0.3085,3.1845,79.4337,1.9317,,,
32000,,,0.4029,0.7905,0.146,-122.0535,7.0265,0.0726,-0.2833,3.4001,162.893,3.7075,,,
32000,,,,,,,,,,,,,1000,1504.979,82.71
32500,,,0.4094,0.7839,0.1521,-121.0028,7.0666,0.0723,-0.3104,3.0798,75.8172,2.3863,,,
33000,,,0.4149,0.7972,0.1568,-125.8835,6.7004,0.0725,-0.3201,3.6554,81.1665,1.5953,,,
33000,,,,,,,,,,,,,1000,1576.514,85.2157
33500,,,0.4122,0.7896,0.1618,-127.8435,7.6693,0.0693,-0.3073,2.958,127.3514,4.8716,,,
34000,,,0.4079,0.7856,0.1473,-129.8254,5.9181,0.0739,-0.2889,3.0062,130.6476,2.6421,,,
34000,,,,,,,,,,,,,1000,1436.6249,82.8554
34500,,,0.4094,0.793,0.1517,-130.7451,6.5976,0.0727,-0.2956,3.3932,112.7201,2.4804,,,
35000,,,0.408,0.7836,0.1449,-128.0063,6.0345,0.0754,-0.2896,3.3751,89.6047,2.942,,,
35000,2791.407,1000.0,,,,,,,,,,,,,
35000,,,,,,,,,,,,,1000,1567.8905,75.5741
35500,,,0.4108,0.7873,0.1495,-132.8327,5.2916,0.0743,-0.2986,2.5032,51.0223,2.3974,,,
36000,,,0.4059,0.7976,0.1504,-137.9282,6.0658,0.0715,-0.291,2.7873,156.5459,3.5562,,,
36000,,,,,,,,,,,,,1000,1559.8043,85.5386
36500,,,0.4037,0.8014,0.1457,-135.9798,6.0469,0.0731,-0.2919,3.2214,234.8064,3.1281,,,
37000,,,0.3968,0.7904,0.14,-137.079,7.3075,0.0724,-0.2774,3.799,211.7587,2.6122,,,
37000,,,,,,,,,,,,,1000,1520.2496,83.3721
37500,,,0.3957,0.8014,0.139,-142.2899,6.1559,0.0717,-0.2811,2.8843,255.6464,2.1262,,,
38000,,,0.3952,0.7958,0.1398,-140.7346,5.9869,0.0714,-0.2815,2.8015,68.0956,2.3328,,,
38000,,,,,,,,,,,,,1000,1435.9065,79.2553
38500,,,0.4038,0.7884,0.1466,-140.5166,5.9691,0.0727,-0.2926,2.9213,57.9459,1.5507,,,
39000,,,0.3973,0.8076,0.1342,-144.4837,7.0993,0.0753,-0.2751,2.6116,135.6935,3.8665,,,
39000,,,,,,,,,,,,,1000,1605.8982,79.1351
39500,,,0.3996,0.7909,0.1463,-146.817,4.766,0.0703,-0.2863,2.4146,94.4978,1.8147,,,
40000,,,0.4119,0.7985,0.1497,-147.7498,5.8662,0.0746,-0.2935,3.109,148.9352,3.114,,,
40000,3345.3202,1000.0,,,,,,,,,,,,,
40000,,,,,,,,,,,,,1000,2112.9733,71.9368
40500,,,0.4008,0.8042,0.143,-154.9104,8.0863,0.0721,-0.278,2.5531,94.706,3.7751,,,
41000,,,0.4074,0.7981,0.1516,-148.3966,5.8256,0.0709,-0.2845,3.0459,197.6383,2.4545,,,
41000,,,,,,,,,,,,,1000,791.9601,79.2387
41500,,,0.4033,0.8135,0.1425,-153.709,7.7472,0.0739,-0.2732,8.1664,225.921,4.0042,,,
42000,,,0.3947,0.7973,0.1464,-151.8182,7.8747,0.0676,-0.2863,3.2676,110.0578,3.1089,,,
42000,,,,,,,,,,,,,1000,760.3761,78.9894
42500,,,0.394,0.8031,0.1413,-151.8414,6.574,0.0704,-0.2824,2.9282,111.8076,2.9122,,,
43000,,,0.3975,0.8057,0.1562,-152.4365,6.2897,0.0646,-0.3002,3.5616,132.5707,3.999,,,
43000,,,,,,,,,,,,,1000,2110.727,79.219
43500,,,0.4065,0.8144,0.1529,-154.2498,6.5671,0.0713,-0.2988,3.7508,151.3368,3.6429,,,
44000,,,0.3977,0.7946,0.1481,-156.1605,6.9012,0.0682,-0.2891,3.5311,241.1492,3.5008,,,
44000,,,,,,,,,,,,,1000,2218.2321,79.3373
44500,,,0.3992,0.8192,0.1482,-161.1984,6.4809,0.0691,-0.2884,3.7511,139.5734,3.3844,,,
45000,,,0.4046,0.8081,0.146,-156.6188,8.281,0.0728,-0.2859,4.963,160.702,5.7307,,,
45000,3028.2975,1000.0,,,,,,,,,,,,,
45000,,,,,,,,,,,,,1000,588.7909,74.7809
45500,,,0.3856,0.8084,0.1415,-159.0311,6.7704,0.0656,-0.2897,2.9754,92.9476,1.8553,,,
46000,,,0.3878,0.8167,0.1526,-161.2586,6.2255,0.0619,-0.2905,4.0604,277.378,2.8774,,,
46000,,,,,,,,,,,,,1000,2094.4154,82.8138
46500,,,0.3974,0.8214,0.1412,-163.5176,5.3752,0.0717,-0.2854,2.9026,123.2846,2.6521,,,
